"URI","Label","Definition","Notation","Status","AcceptedDate"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/PRD","Production","","PRD","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/PPRD","Primary production","","PPRD","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/IPRD","Indigenous production","","IPRD","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/IPRD_AG","Indigenous production - associated gas","","IPRD_AG","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/IPRD_NAG","Indigenous production - non-associated gas","","IPRD_NAG","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/IPRD_CG","Indigenous production - colliery gas","","IPRD_CG","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/UPRD","Underground production","","UPRD","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/SPRD","Surface production","","SPRD","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/PRD_OTH","Other production","","PRD_OTH","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/TOS","Transfer from other sources","","TOS","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/TOS_OIL","Transfer from other sources - oil","","TOS_OIL","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/TOS_COAL","Transfer from other sources - coal","","TOS_COAL","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/TOS_REN","Transfer from other sources - renewables","","TOS_REN","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/TOS_NGAS","Transfer from other sources - natural gas","","TOS_NGAS","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/IDCO","Into direct carry-over","","IDCO","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/FDCO","From direct carry-over","","FDCO","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/RCV_RCY","Recovered and recycled products","","RCV_RCY","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/IMP","Imports","","IMP","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/IMP_NET","Net imports","","IMP_NET","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/EXP","Exports","","EXP","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/STK_CHG","Change in stock","","STK_CHG","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/STK_DRW","Stock draw","","STK_DRW","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/STK_BLD","Stock build","","STK_BLD","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/STK_CHG_MAIN","Stock changes at main activity utilities","","STK_CHG_MAIN","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/NRGSUP_CAL","Overall energy supply - calculated","","NRGSUP_CAL","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/GAE","Gross available energy","","GAE","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/INTMARB","International maritime bunkers","","INTMARB","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/IC","Inland consumption","","IC","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/IC_CAL","Inland consumption - calculated","","IC_CAL","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/IC_OBS","Inland consumption - observed","","IC_OBS","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/ID","Inland demand","","ID","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/GID","Gross inland deliveries","","GID","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/GID_CAL","Gross inland deliveries - calculated","","GID_CAL","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/GID_OBS","Gross inland deliveries - observed","","GID_OBS","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/GID_E","Gross inland deliveries - energy use","","GID_E","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/GID_NE","Gross inland deliveries - non-energy use","","GID_NE","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/GIC","Gross inland consumption","","GIC","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/INTAVI","International aviation","","INTAVI","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/INTAVI_E","International aviation - energy use","","INTAVI_E","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/INTAVI_NE","International aviation - non-energy use","","INTAVI_NE","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/NRGSUP","Total energy supply","","NRGSUP","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/GIC2020-2030","Gross inland consumption (Europe 2020-2030)","","GIC2020-2030","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/PEC2020-2030","Primary energy consumption (Europe 2020-2030)","","PEC2020-2030","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/FEC2020-2030","Final energy consumption (Europe 2020-2030)","","FEC2020-2030","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/GIC2020","Gross inland consumption (Europe 2020)","","GIC2020","invalid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/PEC2020","Primary energy consumption (Europe 2020)","","PEC2020","invalid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/FEC2020","Final energy consumption (Europe 2020)","","FEC2020","invalid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/GTI","Gross transformation input","","GTI","valid","2018-12-07"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/NTI","Net transformation input","","NTI","valid","2018-12-07"
