DATAFLOW,LAST UPDATE,freq,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,SK,2021,0.690,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,SK,2022,0.690,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,XK,2021,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,XK,2022,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,AL,2021,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,AL,2022,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,AT,2021,422.922,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,AT,2022,403.159,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,BA,2021,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,BE,2021,725.516,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,BE,2022,762.960,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,BG,2021,166.762,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,BG,2022,183.055,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,CY,2021,26.240,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,CY,2022,24.880,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,CZ,2021,361.625,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,CZ,2022,362.137,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,DE,2021,2961.366,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,DE,2022,2919.064,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,DK,2021,269.700,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,DK,2022,242.720,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,EA20,2021,12875.727,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,EA20,2022,12705.548,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,EE,2021,57.480,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,EE,2022,40.893,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,EL,2021,160.756,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,EL,2022,160.756,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,ES,2021,1549.884,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,ES,2022,1445.470,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,EU27_2020,2021,17024.741,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,EU27_2020,2022,17234.325,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,FI,2021,663.874,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,FI,2022,545.784,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,FR,2021,2924.598,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,FR,2022,3100.167,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,GE,2021,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,GE,2022,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,HR,2021,91.194,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,HR,2022,21.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,HU,2021,283.700,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,HU,2022,302.900,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,IE,2021,182.183,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,IE,2022,230.577,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,IS,2021,31.036,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,IS,2022,24.150,
